iter	Passed	Remaining
294	1823	4358
295	1829	4350
296	1833	4340
297	1838	4332
298	1843	4322
299	1851	4319
300	1856	4312
301	1872	4327
302	1878	4321
303	1884	4314
304	1889	4305
305	1895	4298
306	1900	4289
307	1905	4280
308	1910	4272
309	1915	4264
310	1925	4265
311	1930	4256
312	1934	4247
313	1939	4238
314	1950	4241
315	1960	4244
316	1968	4241
317	1977	4241
318	1987	4242
319	1997	4245
320	2008	4247
321	2017	4248
322	2028	4251
323	2038	4253
324	2050	4257
325	2059	4257
326	2064	4249
327	2070	4241
328	2075	4232
329	2084	4231
330	2091	4226
331	2102	4230
332	2132	4270
333	2145	4278
334	2158	4284
335	2171	4290
336	2181	4291
337	2192	4293
338	2202	4294
339	2211	4292
340	2234	4317
341	2252	4333
342	2268	4344
343	2274	4337
344	2282	4332
345	2288	4325
346	2316	4358
347	2337	4378
348	2342	4369
349	2352	4369
350	2363	4370
351	2371	4366
352	2377	4356
353	2387	4356
354	2394	4350
355	2401	4344
356	2405	4332
357	2410	4322
358	2416	4314
359	2423	4308
360	2443	4325
361	2448	4315
362	2459	4315
363	2467	4311
364	2479	4313
365	2489	4312
366	2498	4309
367	2506	4305
368	2511	4295
369	2517	4286
370	2522	4276
371	2527	4266
372	2532	4256
373	2537	4247
374	2547	4245
375	2557	4244
376	2564	4238
377	2572	4233
378	2578	4224
379	2583	4214
380	2590	4208
381	2599	4205
382	2607	4200
383	2614	4194
384	2619	4184
385	2625	4176
386	2632	4169
387	2639	4164
388	2644	4152
389	2649	4144
390	2656	4136
391	2663	4130
392	2669	4123
393	2676	4116
394	2680	4106
395	2685	4096
396	2690	4086
397	2695	4076
398	2701	4068
399	2705	4058
400	2713	4052
401	2719	4044
402	2726	4038
403	2734	4033
404	2744	4032
405	2751	4025
406	2757	4017
407	2767	4016
408	2775	4010
409	2781	4002
410	2788	3996
411	2794	3988
412	2800	3979
413	2805	3971
414	2811	3962
415	2816	3953
416	2821	3945
417	2827	3936
418	2831	3926
